"Collection Name","Title#1","Title Type#1","Name#1","Name Role#1","Name URI#1","Name#2","Name Role#2","Name URI#2","Resource Type#1","Resource Type URI#1","Genre#1","Genre URI#1","Genre#2","Genre URI#2","Publisher#1","Date Issued#1","Date Created#1","Date Published#1","Date Captured#1","Language Term#1","Language Term URI#1","Form#1","Form URI#1","Extent#1","Internet Media Type#1","Internet Media Type URI#1","Digital Origin#1","Physical Description Note#1","Form#2","Form URI#2","Abstract#1","Note#1","Note Type#1","Note#2","Subject Topic#1","Subject Topic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Topic#3","Subject Topic URI#3","Subject Topic#4","Subject Topic URI#4","Subject Topic#5","Subject Topic URI#5","Subject Topic#6","Subject Topic URI#6","Subject Topic#7","Subject Topic URI#7","Subject Topic#8","Subject Topic URI#8","Subject Name#1","Subject Name URI#1","Subject Name#2","Subject Name URI#2","Subject Name#3","Subject Name URI#3","Subject Name#4","Subject Name URI#4","Subject Name#5","Subject Name URI#5","Subject Name#6","Subject Name URI#6","Subject Name#7","Subject Name URI#7","Subject Name#8","Subject Name URI#8","Subject Name#9","Subject Name URI#9","Subject Geographic#1","Subject Geographic URI#1","Subject Geographic#2","Subject Geographic URI#2","Subject Geographic#3","Subject Geographic URI#3","Subject Temporal#1","Subject Temporal URI#1","Subject Title#1","Subject Title URI#1","Local Identifier#1","Persistent Identifier#1","Reference Identifier#1","Reference Identifier#2","Physical Location#1","Shelf Locator#1","Related Item Title#1","Related Item Type#1","Related Item Identifier#1","Related Item Title#2","Related Item Type#2","Related Item Identifier#2","Access Condition#1","Access Condition URI#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Glenn Miller Digital Collection","""Me and the U.P."" autobiography of E. Deane Miller","Proper","Miller, Elmer Deane, 1901-1971","author","local","Miller, Wynne","donor","http://id.loc.gov/authorities/names/n2004075626","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","autobiographies (literary genre)","http://vocab.getty.edu/page/aat/300080104","sketches","http://vocab.getty.edu/page/aat/300015617","","","1987","2026","","English","http://id.loc.gov/vocabulary/iso639-2/eng","manuscripts (documents)","http://vocab.getty.edu/page/aat/300028569","155 unnumbered pages","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","","","","Autobiography written and illustrated by Elmer Deane Miller. It describes the years of his life between 1901-1970 and includes topics such as his childhood in the Midwest, attending dental school, performing in bands, marriage, and his love for the Union Pacific Railroad. There are many ink drawings throughout the document. The autobiography also contains pictures of Deane Miller.","","","","Hobbies","http://id.loc.gov/authorities/subjects/sh85061308","Locomotives","http://id.worldcat.org/fast/1001752","Childhood and youth","http://id.loc.gov/authorities/subjects/sh99004940","Life change events","http://id.loc.gov/authorities/subjects/sh85076819","Band musicians","http://id.loc.gov/authorities/subjects/sh85011501","","","","","","","Miller, Elmer Deane, 1901-1971","local","Union Pacific Railroad Company","http://id.worldcat.org/fast/554901","Obernalte Miller, Velna Lydia, 1900-1976","local","","","","","","","","","","","","","Midwest (United States) (general region)","http://vocab.getty.edu/page/tgn/4007191","Greeley (Weld, Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7014132","North Platte River (United States) (river)","http://vocab.getty.edu/page/tgn/2548828","","","","","COU-5098_b2_f2_meAndTheUP.pdf","https://doi.org/10.60807/kqlb0f","7f8c9ae9b851f9934543adbcfe80b54a","","University of Colorado Boulder Libraries Archives","Deane Miller collection (COU: 5098) | box 2 | folder 2","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","2","1256937","5595","COU-5098_b2_f2_meAndTheUP.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~64~64~2~1256937"
"Glenn Miller Digital Collection","Adam's needle yucca plant","Devised","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","nature photography","http://vocab.getty.edu/page/aat/300138239","family papers","http://vocab.getty.edu/page/aat/300028040","","","approximately 1953","2026","","","","color photographs","http://vocab.getty.edu/page/aat/300128359","1 color slide","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","digitized other analog","","","","Picture depicting a yucca plant. The plant might have been located outside a home owned by the Miller family.","","","","Yucca","http://id.loc.gov/authorities/subjects/sh85149426","Plants","http://id.loc.gov/authorities/subjects/sh85102839","Dwellings","http://id.loc.gov/authorities/subjects/sh85040193","Homes","http://id.worldcat.org/fast/1353235","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","COU-5098_b1_f8_37.tif","https://doi.org/10.60807/ym2ur0","c83e635e620e6f78e4f0ad1d28f066cf","","University of Colorado Boulder Libraries Archives","Deane Miller collection (COU: 5098) | box 1 | folder 8","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","53","1256892","5595","COU-5098_b1_f8_37.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~64~64~53~1256892"
"Glenn Miller Digital Collection","Correspondence from Bing Crosby to George Simon","Devised","Crosby, Bing, 1903-1977","","http://id.loc.gov/authorities/names/n50018853","","","","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","personal correspondence","http://vocab.getty.edu/page/aat/300048730","","","","","1973-08-24","2026","","English","http://id.loc.gov/vocabulary/iso639-2/eng","letters (correspondence)","http://vocab.getty.edu/page/aat/300026879","2 unnumbered pages","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","","","","A typed letter from white singer, Bing Crosby to George Simon. Crosby reminiscences about his interactions with Glenn Miller.","","","","Jazz vocals","http://id.loc.gov/authorities/subjects/sh85069851","Big band music","http://id.loc.gov/authorities/subjects/sh85013941","Friendship","http://id.loc.gov/authorities/subjects/sh85051992","","","","","","","","","","","Miller, Glenn, 1904-1944","http://id.loc.gov/authorities/names/n50033672","Simon, George T., 1912-2001","http://id.loc.gov/authorities/names/n50023915","Crosby, Bing, 1903-1977","http://id.loc.gov/authorities/names/n50018853","","","","","","","","","","","","","","","","","","","World War, 1939-1945","http://id.loc.gov/authorities/subjects/sh85148273","Pennies from heaven (Motion picture : 1936)","http://id.loc.gov/authorities/names/no2026019272","COU-5109_b2_f4_crosbyToSimon.pdf","https://doi.org/10.60807/lvensa","0882d9a51cb83cad68222a8df96150b0","","University of Colorado Boulder Libraries Archives","George T. Simon papers (COU: 5109) | box 2 | folder 4","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","67","1256959","5595","COU-5109_b2_f4_crosbyToSimon.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~64~64~67~1256959"
"Glenn Miller Digital Collection","Correspondence from Don Haynes to George Simon","Devised","Haynes, Don","","local","","","","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","personal correspondence","http://vocab.getty.edu/page/aat/300048730","","","","","1945","2026","","English","http://id.loc.gov/vocabulary/iso639-2/eng","letters (correspondence)","http://vocab.getty.edu/page/aat/300026879","3 unnumbered pages","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","","","","Handwritten letter from Don Haynes to George Simon. Haynes apologizes for the late letter since he's been busy after Glenn Miller's disappearance in December 1944. Despite rumors, Haynes admits there have been no sightings of the plane or any of the passengers. He continues to talk about the orders he received from the Air Force and his duty to carry out Miller's musical touring. He also admits while Paul Dudley and other members of the band have done a great job with production, it's not the same without having Glenn at the front of the band. He ends the letter with a brief comment about how terrific Paris is in the springtime.","","","","Big band music","http://id.loc.gov/authorities/subjects/sh85013941","United States. Army--Songs and music","http://id.loc.gov/authorities/subjects/sh85140713","Legacies","http://id.loc.gov/authorities/subjects/sh85075716","Inheritance and succession","http://id.loc.gov/authorities/subjects/sh85066373","","","","","","","","","Simon, George T., 1912-2001","http://id.loc.gov/authorities/names/n50023915","Miller, Glenn, 1904-1944","http://id.loc.gov/authorities/names/n50033672","Dudley, Paul, 1912-1959","http://id.loc.gov/authorities/names/n2012052302","Army Air Forces Band (U.S.)","http://id.loc.gov/authorities/names/n2001063526","","","","","","","","","","","","","","","","","World War, 1939-1945","http://id.loc.gov/authorities/subjects/sh85148273","","","COU-5109_b2_f5_haynesMcKinleytoSimon_02.pdf","https://doi.org/10.60807/65lust","191246bad8fe7ecc3a3d522dc691f8d4","","University of Colorado Boulder Libraries Archives","George T. Simon papers (COU: 5109) | box 2 | folder 5","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","69","1256955","5595","COU-5109_b2_f5_haynesMcKinleytoSimon_02.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~64~64~69~1256955"
"Glenn Miller Digital Collection","Correspondence from Don Haynes to George Simon","Devised","Haynes, Don","","local","","","","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","personal correspondence","http://vocab.getty.edu/page/aat/300048730","","","","","1945-05-10","2026","","English","http://id.loc.gov/vocabulary/iso639-2/eng","letters (correspondence)","http://vocab.getty.edu/page/aat/300026879","3 unnumbered pages","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","","","","Handwritten letter from Don Haynes to George Simon. Haynes tells Simon that the U.S. Army Air Forces Band just returned from a twelve-day tour in the Riviera. They entertained thousands of U.S. troops who had returned from combat. Haynes also admits he will miss the opportunity to participate in ""Major Glenn Miller Day"" but will attend in spirit. He then lists the titles of several ""old favorite"" songs performed by Glenn Miller's Orchestra before the war. He ends the letter by stating the band will perform songs in Germany before returning to the U.S.","","","","Big band music","http://id.loc.gov/authorities/subjects/sh85013941","United States. Army--Songs and music","http://id.loc.gov/authorities/subjects/sh85140713","","","","","","","","","","","","","Simon, George T., 1912-2001","http://id.loc.gov/authorities/names/n50023915","Miller, Glenn, 1904-1944","http://id.loc.gov/authorities/names/n50033672","Glenn Miller Orchestra","http://id.loc.gov/authorities/names/n93005948","Army Air Forces Band (U.S.)","http://id.loc.gov/authorities/names/n2001063526","","","","","","","","","","","Paris (Île-de-France, France, Europe) (inhabited place)","http://vocab.getty.edu/page/tgn/7008038","","","","","World War, 1939-1945","http://id.loc.gov/authorities/subjects/sh85148273","","","COU-5109_b2_f5_haynesMcKinleytoSimon_03.pdf","https://doi.org/10.60807/i0wy96","191246bad8fe7ecc3a3d522dc691f8d4","","University of Colorado Boulder Libraries Archives","George T. Simon papers (COU: 5109) | box 2 | folder 5","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","70","1256953","5595","COU-5109_b2_f5_haynesMcKinleytoSimon_03.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~64~64~70~1256953"
"Glenn Miller Digital Collection","Correspondence from Don Haynes to George Simon","Devised","Haynes, Don","","local","","","","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","personal correspondence","http://vocab.getty.edu/page/aat/300048730","","","","","1945-05-28","2026","","English","http://id.loc.gov/vocabulary/iso639-2/eng","letters (correspondence)","http://vocab.getty.edu/page/aat/300026879","2 unnumbered pages; 1 envelope","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","","","","Handwritten letter from Don Haynes to George Simon. Haynes encloses the program from the gala performance by the U.S. Army Air Forces Band benefiting the French Prisoners of War Relief and describes the various groups of people who attended the event. He then shifts to the band's upcoming six-week tour of Germany, where they will perform for Army personnel. Haynes notes that their first performance will take place at Nuremberg Stadium, remarking that although Adolf Hitler once held rallies there, it is one of the few structures left standing in the city after the war. He excitedly shares that the tour will conclude on July 21, 1945, after which the band will return to the United States. Haynes closes the letter by saying he has not received news about Glenn Miller's fate following his disappearance. Reflecting on Miller's absence, he admits he is feeling sentimental as he thinks about the joy Miller's music brought to so many people.","","","","Big band music","http://id.loc.gov/authorities/subjects/sh85013941","United States. Army--Songs and music","http://id.loc.gov/authorities/subjects/sh85140713","Prisoners of war","http://id.loc.gov/authorities/subjects/sh85106971","","","","","","","","","","","Simon, George T., 1912-2001","http://id.loc.gov/authorities/names/n50023915","Miller, Glenn, 1904-1944","http://id.loc.gov/authorities/names/n50033672","Army Air Forces Band (U.S.)","http://id.loc.gov/authorities/names/n2001063526","Hitler, Adolf, 1889-1945","http://id.loc.gov/authorities/names/n79046200","","","","","","","","","","","Nuremberg (Bavaria, Germany, Europe) (inhabited place)","http://vocab.getty.edu/page/tgn/7004334","Paris (Île-de-France, France, Europe) (inhabited place)","http://vocab.getty.edu/page/tgn/7008038","","","World War, 1939-1945","http://id.loc.gov/authorities/subjects/sh85148273","","","COU-5109_b2_f5_haynesMcKinleytoSimon_04.pdf","https://doi.org/10.60807/cptano","191246bad8fe7ecc3a3d522dc691f8d4","","University of Colorado Boulder Libraries Archives","George T. Simon papers (COU: 5109) | box 2 | folder 5","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","71","1256951","5595","COU-5109_b2_f5_haynesMcKinleytoSimon_04.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~64~64~71~1256951"
"Glenn Miller Digital Collection","Correspondence from George Simon to Glenn Miller","Devised","Simon, George T., 1912-2001","","http://id.loc.gov/authorities/names/n50023915","","","","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","personal correspondence","http://vocab.getty.edu/page/aat/300048730","","","","","1943","2026","","English","http://id.loc.gov/vocabulary/iso639-2/eng","letters (correspondence)","http://vocab.getty.edu/page/aat/300026879","1 page","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","","","","Scanned copy of a typed letter from George Simon to Glenn Miller. Written in response to an earlier letter in which Miller advised Simon to ""be patient,"" Simon replies, ""O.K."" The context of the statement is not provided in the letter.","","","","Big band music","http://id.loc.gov/authorities/subjects/sh85013941","United States. Army--Songs and music","http://id.loc.gov/authorities/subjects/sh85140713","","","","","","","","","","","","","Miller, Glenn, 1904-1944","http://id.loc.gov/authorities/names/n50033672","Army Air Forces Band (U.S.)","http://id.loc.gov/authorities/names/n2001063526","","","","","","","","","","","","","","","","","","","","","","","","","COU-5109_b2_f8_glennHelenToSimon_06.pdf","https://doi.org/10.60807/vtrmdd","8aefd4828c8ecb2429e25d0267663042","","University of Colorado Boulder Libraries Archives","George T. Simon papers (COU: 5109) | box 2 | folder 8","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","77","1256967","5595","COU-5109_b2_f8_glennHelenToSimon_06.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~64~64~77~1256967"
"Glenn Miller Digital Collection","Correspondence from George Simon to Glenn Miller","Devised","Simon, George T., 1912-2001","","http://id.loc.gov/authorities/names/n50023915","","","","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","personal correspondence","http://vocab.getty.edu/page/aat/300048730","","","","","1944-10-14","2026","","English","http://id.loc.gov/vocabulary/iso639-2/eng","letters (correspondence)","http://vocab.getty.edu/page/aat/300026879","2 pages","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","","","","A typed letter from George Simon to Glenn Miller. Simon admits that he was disappointed about being left out of Miller's plans for the U.S. Army Air Forces Band. Despite feeling like he didn't belong, Simon found other ways to get involved with the war effort. He talks about his experience working with NBC to book talent for a radio show called, ""For the Record."" Simon also comments on Miller's frustration regarding criticism of Miller’s band in a Metronome magazine article. Simon tells Miller that he's receiving great news about the band from folks like Dinah, Bing, and Spike Jones. He asks Miller if there is a way he can record one of his concerts while performing abroad. He finishes the letter by stating Miller can reach out to him for anything.","","","","Big band music","http://id.loc.gov/authorities/subjects/sh85013941","United States. Army--Songs and music","http://id.loc.gov/authorities/subjects/sh85140713","","","","","","","","","","","","","Miller, Glenn, 1904-1944","http://id.loc.gov/authorities/names/n50033672","Army Air Forces Band (U.S.)","http://id.loc.gov/authorities/names/n2001063526","Rodin, Gil, 1906-1974","http://id.loc.gov/authorities/names/no2002112063","","","","","","","","","","","","","","","","","","","","","For the record (Radio program)","http://id.loc.gov/authorities/names/n85173903","COU-5109_b2_f8_glennHelenToSimon_08.pdf","https://doi.org/10.60807/rdj0bk","8aefd4828c8ecb2429e25d0267663042","","University of Colorado Boulder Libraries Archives","George T. Simon papers (COU: 5109) | box 2 | folder 8","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","79","1256963","5595","COU-5109_b2_f8_glennHelenToSimon_08.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~64~64~79~1256963"
"Glenn Miller Digital Collection","Correspondence from Glenn Miller to George Simon","Devised","Miller, Glenn, 1904-1944","","http://id.loc.gov/authorities/names/n50033672","","","","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","personal correspondence","http://vocab.getty.edu/page/aat/300048730","","","","","1937-08-09","2026","","English","http://id.loc.gov/vocabulary/iso639-2/eng","letters (correspondence)","http://vocab.getty.edu/page/aat/300026879","1 page; 1 envelope","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","","","","A typed letter from Glenn Miller to George Simon. Miller tells Simon he is interested in running an advertisement in Metronome magazine for fifteen dollars per month. He mentions that if the ad runs with Rockwell O'Keefe it would cost at least ten dollars per month. He instructs Simon to be sure Metronome spells ""Glenn"" correctly, that the ad states ""Brunswick Records,"" and that several hotels are opening. Miller finishes the letter by stating a man named Faz is joining the band, with more members to follow soon.","","","","Big band music","http://id.loc.gov/authorities/subjects/sh85013941","Band musicians","http://id.loc.gov/authorities/subjects/sh85011501","Advertising","http://id.loc.gov/authorities/subjects/sh85001086","","","","","","","","","","","Simon, George T., 1912-2001","http://id.loc.gov/authorities/names/n50023915","Glenn Miller Orchestra","http://id.loc.gov/authorities/names/n93005948","Rockwell-O'Keefe Theatrical Agency","local","","","","","","","","","","","","","","","","","","","","","Metronome (New York, N.Y. : 1960)","http://id.loc.gov/authorities/names/n2005029806","COU-5109_b2_f8_glennHelenToSimon_02.pdf","https://doi.org/10.60807/me1px2","8aefd4828c8ecb2429e25d0267663042","","University of Colorado Boulder Libraries Archives","George T. Simon papers (COU: 5109) | box 2 | folder 8","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","73","1256975","5595","COU-5109_b2_f8_glennHelenToSimon_02.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~64~64~73~1256975"
"Glenn Miller Digital Collection","Correspondence from Glenn Miller to George Simon","Devised","Miller, Glenn, 1904-1944","","http://id.loc.gov/authorities/names/n50033672","","","","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","personal correspondence","http://vocab.getty.edu/page/aat/300048730","","","","","1937-10-12","2026","","English","http://id.loc.gov/vocabulary/iso639-2/eng","letters (correspondence)","http://vocab.getty.edu/page/aat/300026879","2 unnumbered pages; 1 envelope","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","","","","Typed letter from Glenn Miller to George Simon. Miller updates Simon on several recent additions to the orchestra, including Faz on clarinet, a new drummer, new cornet players, and a front line of saxophonists. He thanks Simon for his continued interest in the orchestra and asks whether he could arrange for Mrs. Le Brosi to come hear the band perform. Miller closes the letter with a postscript noting that Les Beigle has organized a small six-piece Dixieland band.","","","","Big band music","http://id.loc.gov/authorities/subjects/sh85013941","Band musicians","http://id.loc.gov/authorities/subjects/sh85011501","Jazz","http://id.loc.gov/authorities/subjects/sh85069833","","","","","","","","","","","Simon, George T., 1912-2001","http://id.loc.gov/authorities/names/n50023915","Glenn Miller Orchestra","http://id.loc.gov/authorities/names/n93005948","","","","","","","","","","","","","","","","","","","","","","","","","COU-5109_b2_f8_glennHelenToSimon_03.pdf","https://doi.org/10.60807/ijp70d","8aefd4828c8ecb2429e25d0267663042","","University of Colorado Boulder Libraries Archives","George T. Simon papers (COU: 5109) | box 2 | folder 8","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","74","1256973","5595","COU-5109_b2_f8_glennHelenToSimon_03.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~64~64~74~1256973"
